n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares,kw_min,kw_max,kw_avg,data_channel,weekday
10.0,414.0,0.606796115032,0.999999996094,0.777343746964,8.0,0.0,1.0,0.0,4.9806763285,6.0,0.0,0.0,0.0,0.0333338385304,0.0333334797008,0.700025925019,0.199971648536,0.033335108214,0.343411290606,0.0101736001126,0.0289855072464,0.0386473429952,0.428571428571,0.571428571429,0.299597763348,0.1,0.5,-0.176128472222,-0.7,-0.05,0.3,0.2,0.2,0.2,468.0,0.0,2019.34615385,728.230311355,6,2
12.0,499.0,0.513026051076,0.999999996689,0.662251653436,14.0,1.0,1.0,0.0,5.08416833667,10.0,1300.0,1300.0,1300.0,0.0202489704609,0.132822047281,0.120267101799,0.0200923309735,0.706569549485,0.394949494949,0.0915404040404,0.0280561122244,0.0100200400802,0.736842105263,0.263157894737,0.35854978355,0.1,0.5,-0.235,-0.5,-0.1,0.3,0.0,0.2,0.0,1200.0,0.0,2193.25,884.851996337,1,2
13.0,306.0,0.534653463582,0.999999994536,0.704918028935,3.0,2.0,1.0,0.0,4.57843137255,10.0,0.0,0.0,0.0,0.326236721842,0.275804959437,0.0200048696795,0.0200005312696,0.357952917772,0.395086580087,0.208311688312,0.0490196078431,0.0,1.0,0.0,0.298582251082,0.0625,0.8,0.0,0.0,0.0,0.666666666667,0.333333333333,0.166666666667,0.333333333333,1200.0,0.0,5700.0,1802.97293791,3,2
9.0,180.0,0.630057799826,0.999999988764,0.820224709885,1.0,1.0,0.0,0.0,4.36111111111,7.0,0.0,0.0,0.0,0.177198351986,0.0289267440035,0.0285859213373,0.0285745662203,0.736714416452,0.3675,0.0875,0.0166666666667,0.0111111111111,0.6,0.4,0.453333333333,0.16,0.6,-0.1625,-0.2,-0.125,0.0,0.0,0.5,0.0,1100.0,0.0,2082.425,1516.04068423,5,3
13.0,1226.0,0.436196830328,0.999999998549,0.645863569454,26.0,0.0,1.0,0.0,4.50163132137,8.0,0.0,0.0,0.0,0.0250310593235,0.0250066410095,0.0250421141262,0.0250037431463,0.899916442394,0.462272437272,0.160164580165,0.0554649265905,0.0203915171289,0.731182795699,0.268817204301,0.369680417622,0.0333333333333,1.0,-0.233428571429,-1.0,-0.0714285714286,0.0,0.0,0.5,0.0,1400.0,0.0,2339.52,1048.3102877,5,3
10.0,498.0,0.534979422768,0.99999999661,0.701694912876,7.0,0.0,1.0,0.0,4.88152610442,6.0,0.0,0.0,0.0,0.0333859929758,0.0333484725438,0.533041958984,0.0333342087883,0.366889366708,0.518461619681,0.154400274522,0.0481927710843,0.0200803212851,0.705882352941,0.294117647059,0.331475468975,0.1,0.7,-0.193055555556,-0.5,-0.05,0.0,0.0,0.5,0.0,971.0,0.0,3600.0,1232.38121693,6,3
9.0,455.0,0.495594712565,0.999999996169,0.659003828893,10.0,5.0,1.0,0.0,4.69450549451,9.0,2000.0,4900.0,3500.0,0.155015796358,0.0223145142291,0.15879564847,0.0224635011836,0.641410539759,0.468743078627,0.144629014396,0.0505494505495,0.0197802197802,0.71875,0.28125,0.353209109731,0.0333333333333,0.8,-0.21164021164,-0.5,-0.0714285714286,0.288888888889,0.177777777778,0.211111111111,0.177777777778,2300.0,0.0,3600.0,1366.79382716,1,3
11.0,308.0,0.633116881061,0.999999994624,0.806451608567,8.0,4.0,1.0,0.0,4.73376623377,4.0,873.0,10900.0,4657.66666667,0.0500072795801,0.0522152468666,0.0501534858153,0.79655668493,0.0510673028082,0.539984126984,0.126428571429,0.0454545454545,0.012987012987,0.777777777778,0.222222222222,0.385884353741,0.1,0.7,-0.45625,-0.8,-0.1,0.0,0.0,0.5,0.0,1800.0,1291.0,1953.14444444,1644.36111111,2,3
13.0,141.0,0.643939389061,0.999999987654,0.790123447036,6.0,1.0,1.0,0.0,4.58865248227,6.0,0.0,0.0,0.0,0.0334038750634,0.0341868873344,0.0361166144318,0.0333785854767,0.862914037694,0.445928030303,0.240340909091,0.0425531914894,0.0,1.0,0.0,0.320454545455,0.136363636364,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1900.0,0.0,2082.425,1166.81712963,5,3
14.0,318.0,0.633440512433,0.999999994595,0.837837833309,7.0,0.0,1.0,0.0,4.42767295597,7.0,0.0,0.0,0.0,0.0289031760614,0.172154262185,0.331987555812,0.02979382587,0.437161180072,0.4,0.027380952381,0.0377358490566,0.0157232704403,0.705882352941,0.294117647059,0.250063131313,0.0333333333333,1.0,-0.413333333333,-0.8,-0.1,0.0666666666667,0.0333333333333,0.433333333333,0.0333333333333,1700.0,0.0,1953.14444444,815.969614512,1,3
